moqui.basic.LocalizedMessage,seed
zh,Mauritius Rupee,毛里求斯卢比
zh,Mebibyte,字节
zh,Megabit,兆位
zh,Megabit-per-second,每秒兆位
zh,Megabyte,兆字节
zh,Meter,仪表
zh,Meters per hour,米每小时
zh,Meters per minute,每分钟米数
zh,Meters per second,米每秒
zh,Mexican Peso (new),墨西哥比索（新）
zh,Mexican Peso (old),墨西哥比索（旧）
zh,Mibit,米比特
zh,Micrometer (Micron),千分尺（微米）
zh,Mil (Milli-inch),Mil（毫英寸）
zh,Mile (nautical/sea),英里（航海/海）
zh,Mile (statute/land),英里（法规/土地）
zh,Miles per hour,英里每小时
zh,Miles per minute,每分钟英里数
zh,Miles per second,英里每秒
zh,Millenium,千禧年
zh,Milli-Second,毫秒
zh,Millibar,毫巴
zh,Milligram,毫克
zh,Milliliter,毫升
zh,Millimeter,毫米
zh,Millimeter of mercury,毫米汞柱
zh,Minute,分钟
zh,Moldavian Lei,摩尔多瓦雷
zh,Mole - Substance (molecule),痣 - 物质（分子）
zh,Mongolian Tugrik,蒙古图格里克
zh,Month,月
zh,Moroccan Dirham,摩洛哥迪拉姆
zh,Mozambique Metical,莫桑比克梅蒂卡尔
zh,Nepalese Rupee,尼泊尔卢比
zh,New Israeli Shekel,以色列新谢克尔
zh,New Taiwan Dollar,新台币
zh,New Zealand Dollar,新西兰元
zh,Nicaragua,尼加拉瓜
zh,Nicaraguan Cordoba,尼加拉瓜科尔多瓦
zh,Nigerian Naira,尼日利亚奈拉
zh,North Korean Won,朝鲜元
zh,Norwegian Krone,挪威克朗
zh,Omani Rial,阿曼里亚尔
zh,Ounce (avdp),盎司 (avdp)
zh,Ounce (troy),盎司（金衡制）
zh,Ounce per cubic inch ,每立方英寸盎司
zh,Ounce per gallon (UK),盎司每加仑（英国）
zh,Ounce per gallon (US),盎司每加仑（美国）
zh,"Ounce, fluid (UK)",“盎司，流体（英国）”
zh,"Ounce, fluid (US)",“盎司，流体（美国）”
zh,Pakistan Rupee,巴基斯坦卢比
zh,Panamanian Balboa,巴拿马巴波亚
zh,Papua New Guinea Kina,巴布亚新几内亚基那
zh,Paraguayan Guarani,巴拉圭瓜拉尼语
zh,Pascal,帕斯卡
zh,Pebibyte,派比字节
zh,Pennyweight,便士
zh,Per Person,每人
zh,Percent,百分
zh,Peru,秘鲁
zh,Peruvian Inti,秘鲁因蒂
zh,Peruvian Sol,秘鲁索尔
zh,Peruvian Sol - New,秘鲁索尔 - 新
zh,Petabyte,拍字节
zh,Philippino Peso,菲律宾比索
zh,Pibit,皮比特
zh,Pica (type size),异食癖（字体大小）
zh,Pint (UK),品脱（英国）
zh,Pint (US),品脱（美国）
zh,Point (type size),点数（字号）
zh,Poland,波兰
zh,Polish Zloty,波兰兹罗提
zh,Pound (avdp),英镑 (avdp)
zh,Pound per cubic foot,每立方英尺磅
zh,Pound per cubic inch,磅每立方英寸
zh,Pound per cubic yard,每立方码磅
zh,Pound per gallon (UK),磅每加仑（英国）
zh,Pound per gallon (US),磅每加仑（美国）
zh,Pound per square foot,磅每平方英尺
zh,Pound per square inch,磅每平方英寸
zh,Qatar Riyal,卡塔尔里亚尔
zh,Quart,夸脱
zh,Revolutions Per Minute,每分钟转数
zh,Rod,杆
zh,Romanian Leu,罗马尼亚列伊
zh,Russian Rouble,俄罗斯卢布
zh,Russian Ruble (old),俄罗斯卢布（旧）
zh,Rwanda Franc,卢旺达法郎
zh,Samoan Tala,萨摩亚塔拉
zh,Santo Domiongo,圣多明哥
zh,Sao Tome / Principe Dobra,圣多美/普林西比多布拉
zh,Saudi Riyal,沙特里亚尔
zh,Score,分数
zh,Second,第二
zh,Seychelles Rupee,塞舌尔卢比
zh,Singapore Dollar,新加坡元
zh,Solomon Islands Dollar,所罗门群岛元
zh,Somalian Shilling,索马里先令
zh,South African Rand,南非兰特
zh,South Korean Won,韩元
zh,Square Centimeter,平方厘米
zh,Square Foot,平方英尺
zh,Square Inch,平方英寸
zh,Square Kilometer,平方千米
zh,Square Meter,平方米
zh,Square Mile,平方英里
zh,Square Millimeter,平方毫米
zh,Square Rod,方杆
zh,Square Yard,平方码
zh,Sri Lankan Rupee,斯里兰卡卢比
zh,St.Helena Pound,圣赫勒拿镑
zh,Stere (cubic meter),立体（立方米）
zh,Stone,石头
zh,Sudanese Pound,苏丹镑
zh,Surinam Guilder,苏里南荷兰盾
zh,Swaziland Lilangeni,斯威士兰里兰吉尼
zh,Swedish Krona,瑞典克朗
zh,Swiss Franc,瑞士法郎
zh,Syrian Pound,叙利亚镑
zh,Tablespoon,汤匙
zh,Tadzhikistani Ruble,塔吉克斯坦卢布
zh,Tanzanian Shilling,坦桑尼亚先令
zh,Teaspoon,茶匙
zh,Tebibyte,泰比字节
zh,Terabit,太比特
zh,Terabit-per-second,每秒太比特
zh,Terabyte,太字节
zh,Thailand Baht,泰铢
zh,Tibit,蒂比特
zh,Timor Escudo,帝汶埃斯库多
zh,Ton (long or British),吨（长或英式）
zh,Ton (metric),吨（公制）
zh,Ton (short),吨（短）
zh,"Ton, long, per cubic yard",“吨，长，每立方码”
zh,Tongan Pa'anga,汤加潘加
zh,Torr,托
zh,Trinidad and Tobago Dollar,特立尼达和多巴哥元
zh,Tunisian Dinar,突尼斯第纳尔
zh,Turkish Lira,土耳其里拉
zh,Turkmenistani Manat,土库曼斯坦马纳特
zh,Ugandan Shilling,乌干达先令
zh,Ukrainian Hryvnia,乌克兰格里夫纳
zh,United Arab Emirates Dirham,阿联酋迪拉姆
zh,United States Dollar,美国美元
zh,Uruguay,乌拉圭
zh,Uruguayan New Peso,乌拉圭新比索
zh,Vanuatu Vatu,瓦努阿图瓦图
zh,Venezuelan Bolivar,委内瑞拉玻利瓦尔
zh,Vietnamese Dong,越南盾
zh,Watt,瓦
zh,Week,星期
zh,West Indian Guilder,西印度盾
zh,Yard,院子
zh,Year,年
zh,Yemeni Ryal,也门里亚尔
zh,Zaire,扎伊尔
zh,Zambian Kwacha,赞比亚克瓦查
zh,Zimbabwean Dollar,津巴布韦元
